transaction_id,user_id,transaction_amount,merchant_category,payment_status,device_type,city,bank_name,transaction_date,failure_reason,date_only
1,1102,494,Electronics,Success,Android,Bangalore,Kotak,52:09.0,None,2/27/2026
2,1435,85,Shopping,Failed,iOS,Hyderabad,ICICI,52:09.0,Network Error,2/27/2026
3,1860,1525,Travel,Success,iOS,Hyderabad,HDFC,52:09.0,None,2/12/2026
4,1270,4007,Shopping,Success,Android,Hyderabad,SBI,52:09.0,None,1/9/2026
5,1106,1848,Food,Success,Android,Mumbai,SBI,52:09.0,None,1/8/2026
6,1071,1895,Electronics,Success,iOS,Mumbai,Kotak,52:09.0,None,1/5/2026
7,1700,1458,Shopping,Failed,Android,Delhi,Kotak,52:09.0,Insufficient Balance,12/15/2025
8,1020,1758,Food,Success,iOS,Hyderabad,HDFC,52:09.0,None,12/4/2025
9,1614,2988,Shopping,Failed,Android,Delhi,Kotak,52:09.0,Network Error,2/2/2026
10,1121,1350,Travel,Success,iOS,Hyderabad,Kotak,52:09.0,None,2/8/2026
11,1466,1293,Travel,Failed,iOS,Mumbai,SBI,52:09.0,Insufficient Balance,12/7/2025
12,1214,4026,Travel,Success,Android,Bangalore,HDFC,52:09.0,None,12/21/2025
13,1330,3147,Travel,Failed,iOS,Bangalore,Kotak,52:09.0,Bank Server Down,3/1/2026
14,1458,4666,Groceries,Success,Android,Bangalore,HDFC,52:09.0,None,1/15/2026
15,1087,59,Food,Success,iOS,Bangalore,ICICI,52:09.0,None,12/23/2025
16,1372,2475,Food,Success,Android,Chennai,SBI,52:09.0,None,2/10/2026
17,1099,1710,Travel,Failed,Android,Hyderabad,SBI,52:09.0,Network Error,2/18/2026
18,1871,2681,Groceries,Success,Android,Bangalore,SBI,52:09.0,None,1/15/2026
19,1663,4865,Travel,Success,iOS,Chennai,Axis,52:09.0,None,2/3/2026
20,1130,1122,Groceries,Failed,Android,Chennai,HDFC,52:09.0,Bank Server Down,1/13/2026
21,1661,3275,Travel,Success,Android,Chennai,ICICI,52:09.0,None,12/14/2025
22,1308,1366,Electronics,Success,Android,Delhi,Kotak,52:09.0,None,2/22/2026
23,1769,4195,Electronics,Success,iOS,Delhi,ICICI,52:09.0,None,12/23/2025
24,1343,3733,Shopping,Success,Android,Chennai,HDFC,52:09.0,None,12/5/2025
25,1491,3323,Travel,Failed,iOS,Bangalore,SBI,52:09.0,Insufficient Balance,2/5/2026
26,1413,195,Food,Success,iOS,Hyderabad,Axis,52:09.0,None,12/15/2025
27,1805,3090,Shopping,Success,iOS,Mumbai,HDFC,52:09.0,None,2/4/2026
28,1385,1512,Electronics,Failed,Android,Delhi,HDFC,52:09.0,Insufficient Balance,2/23/2026
29,1191,4726,Travel,Success,Android,Bangalore,Kotak,52:09.0,None,12/23/2025
30,1955,1634,Shopping,Success,iOS,Bangalore,ICICI,52:09.0,None,12/14/2025
31,1276,532,Travel,Success,Android,Mumbai,ICICI,52:09.0,None,2/6/2026
32,1160,3229,Electronics,Success,Android,Mumbai,Kotak,52:09.0,None,12/13/2025
33,1459,1299,Shopping,Success,iOS,Bangalore,Axis,52:09.0,None,12/7/2025
34,1313,4818,Electronics,Failed,iOS,Mumbai,SBI,52:09.0,Bank Server Down,2/24/2026
35,1021,680,Groceries,Success,Android,Bangalore,SBI,52:09.0,None,3/2/2026
36,1252,711,Electronics,Success,iOS,Mumbai,Axis,52:09.0,None,1/6/2026
37,1747,3553,Travel,Success,Android,Mumbai,Kotak,52:09.0,None,1/11/2026
38,1856,2902,Food,Success,iOS,Bangalore,HDFC,52:09.0,None,1/5/2026
39,1560,2516,Electronics,Failed,Android,Chennai,ICICI,52:09.0,Network Error,3/1/2026
40,1474,1037,Food,Failed,Android,Bangalore,HDFC,52:09.0,Network Error,2/24/2026
41,1058,1596,Groceries,Success,iOS,Hyderabad,ICICI,52:09.0,None,1/4/2026
42,1510,699,Shopping,Success,Android,Mumbai,HDFC,52:09.0,None,3/2/2026
43,1681,1018,Shopping,Success,Android,Delhi,Kotak,52:09.0,None,1/1/2026
44,1475,2687,Food,Success,iOS,Mumbai,Kotak,52:09.0,None,1/14/2026
45,1699,1150,Shopping,Success,Android,Hyderabad,Axis,52:09.0,None,2/12/2026
46,1975,490,Electronics,Success,Android,Delhi,HDFC,52:09.0,None,2/3/2026
47,1782,819,Food,Success,Android,Delhi,HDFC,52:09.0,None,2/15/2026
48,1189,1393,Travel,Success,iOS,Bangalore,Axis,52:09.0,None,12/20/2025
49,1957,4408,Electronics,Success,iOS,Chennai,Axis,52:09.0,None,2/10/2026
50,1686,3779,Electronics,Success,iOS,Bangalore,Kotak,52:09.0,None,2/26/2026
51,1957,3956,Electronics,Success,iOS,Delhi,Kotak,52:09.0,None,1/1/2026
52,1562,1627,Travel,Success,iOS,Delhi,HDFC,52:09.0,None,2/1/2026
53,1875,4058,Groceries,Success,Android,Chennai,Kotak,52:09.0,None,1/1/2026
54,1566,3401,Shopping,Failed,Android,Mumbai,Kotak,52:09.0,Insufficient Balance,2/20/2026
55,1243,4845,Food,Success,Android,Chennai,HDFC,52:09.0,None,2/20/2026
56,1831,2399,Groceries,Success,iOS,Bangalore,Axis,52:09.0,None,12/31/2025
57,1504,3652,Food,Success,Android,Mumbai,HDFC,52:09.0,None,2/16/2026
58,1130,1291,Shopping,Success,iOS,Bangalore,SBI,52:09.0,None,2/7/2026
59,1484,1175,Travel,Failed,Android,Chennai,HDFC,52:09.0,Bank Server Down,2/10/2026
60,1818,2651,Electronics,Success,iOS,Mumbai,SBI,52:09.0,None,12/6/2025
61,1646,1240,Electronics,Success,Android,Chennai,HDFC,52:09.0,None,12/18/2025
